ID,Lambda,z_weight,train,pred
1,100,0.9,0.9635,0.9315
2,100,1,0.9649,0.9284
3,75,0.5,0.9613,0.9265
4,75,1,0.9605,0.9255
5,50,0.9,0.9584,0.9236
6,100,0.7,0.9593,0.9227
7,50,1,0.9582,0.9222
8,75,0.9,0.9597,0.9213
9,50,0.7,0.96,0.9201
10,75,0.7,0.9583,0.9186
11,100,0.3,0.9637,0.9185
12,10,1,0.953,0.9182
13,30,1,0.9575,0.9169
14,50,0.3,0.9555,0.9169
15,15,0.7,0.9524,0.9159
16,30,0.9,0.9569,0.9151
17,50,0.5,0.9615,0.9146
18,10,0.9,0.95,0.9144
19,30,0.7,0.9582,0.9134
20,100,0.5,0.9591,0.9121
21,30,0.5,0.9551,0.9116
22,20,0.5,0.9495,0.9105
23,20,0.9,0.9534,0.9103
24,20,0.7,0.9534,0.91
25,75,0.3,0.9535,0.9092
26,15,1,0.948,0.9091
27,15,0.9,0.949,0.9083
28,10,0.7,0.9462,0.9074
29,15,0.5,0.9457,0.9074
30,100,0.1,0.949,0.9072
31,20,1,0.9492,0.9046
32,30,0.3,0.9479,0.9033
33,75,0.1,0.9484,0.9016
34,5,1,0.9415,0.8984
35,20,0.3,0.9431,0.898
36,50,0.1,0.9459,0.897
37,10,0.5,0.9402,0.8963
38,15,0.3,0.9404,0.896
39,5,0.9,0.9398,0.8953
40,30,0.1,0.9437,0.8942
41,20,0.1,0.9413,0.8902
42,5,0.7,0.9368,0.8893
43,10,0.3,0.9372,0.889
44,15,0.1,0.9403,0.8887
45,5,0.3,0.9383,0.888
46,10,0.1,0.9385,0.888
47,5,0.1,0.9387,0.8876
48,5,0.5,0.9357,0.8866
